"","state_name","pc_name","jcode","uniqueid","survey_date","cand_1","party_1","cand_2","party_2","cand_3","party_3","campaign_qual","spend_1","spend_2","spend_3","secret_1","secret_2","secret_3","secret_4","events_1","events_2","events_3","leaders_1","leaders_2","leaders_3","leaders_4","volunteers_1","volunteers_2","volunteers_3","bribe_qual","bribe_coded","target_qual","target_coded","win_1","win_2","win_3","actual_cand_name1","actual_cand_party1","actual_cand_voteshare1","actual_cand_name2","actual_cand_party2","actual_cand_voteshare2","actual_cand_name3","actual_cand_party3","actual_cand_voteshare3","in_sample","pc_num","pc_type","schedule_num","poll_date","resp_secret"
"1","Orissa","Bhubaneswar",14,"001-1",2014-04-05,"Ashok Panda","BJD","","INC","","BJP","BJD","BJD","","","BJD","","","","BJD","","","BJD","","","","","","","DISTRIBUTE MONEY","1","ILLITERATE SLUM POPULATION","1,2","BJD","","","PRASANNA KUMAR PATASANI","BJD",49.2533264160156,"PRITHIVIRAJ HARICHANDAN","BJP",28.0072708129883,"BIJAY MOHANTY","INC",16.3466472625732,1,18,"GEN","5",2014-04-17,1
"2","Orissa","Bhubaneswar",241,"002-1",2014-04-05,"Dr P Panchali","BJD","Prithviraj Harichandan","BJP","Vijay","INC","POSTER ROADSHOW","BJD","","","BJD","","","","BJD","","","BJD","","","","BJD","","","DISTRIBUTE MONEY","1","SLUM DWELLERS","2","BJP","","","PRASANNA KUMAR PATASANI","BJD",49.2533264160156,"PRITHIVIRAJ HARICHANDAN","BJP",28.0072708129883,"BIJAY MOHANTY","INC",16.3466472625732,1,18,"GEN","5",2014-04-17,1
"3","Orissa","Bhubaneswar",259,"003-1",2014-04-05,"","BJD","","BJP","","INC","BJD","BJD","","","BJD","","","","BJD","","","BJD","","","","BJD","","","MONEY","","SLUM DWELLERS","","BJD","","","PRASANNA KUMAR PATASANI","BJD",49.2533264160156,"PRITHIVIRAJ HARICHANDAN","BJP",28.0072708129883,"BIJAY MOHANTY","INC",16.3466472625732,1,18,"GEN","5",2014-04-17,1
"4","Jharkhand","Palamau",54,"004-1",2014-04-05,"","BJP","","RJD","","JVM","RALLIES, ANNOUNCEMENT USING MIKES, DOOR TO DOOR, SPEAKERS","RJD","","","JVM","RJD","","","JVM","","","BJP","JVM","","","JVM","","","CASH AND LIQUOR JUST BEFORE ELECTION DAY","","MUSLIMS PANDIT POOR YOUTH","","BJP","","","VISHNU DAYAL RAM","BJP",48.7569618225098,"MANOJ KUMAR","RJD",21.7503318786621,"GHURAN RAM","JVM",16.0471000671387,1,13,"SC","3A",2014-04-10,1
"5","Jharkhand","Palamau",310,"005-1",2014-04-05,"","BJP","","RJD","","JVM","RALLIES ADVERTISING HOARDINGS MIKE NEWSPAPERS","BJP","","","","","","","BJP","JVM","","BJP","","","","BJP","","","","","SC ST, POOR, YOUTH, OBC","","BJP","","","VISHNU DAYAL RAM","BJP",48.7569618225098,"MANOJ KUMAR","RJD",21.7503318786621,"GHURAN RAM","JVM",16.0471000671387,1,13,"SC","3A",2014-04-10,0
"6","Orissa","Bhubaneswar",255,"006-1",2014-04-05,"","BJD","","INC","","BJP","","BJD","","","BJP","","","","BJD","","","BJP","","","","BJD","","","CASH DISTRIBUTION","","MUSLIMS CONGRESS","","BJP","","","PRASANNA KUMAR PATASANI","BJD",49.2533264160156,"PRITHIVIRAJ HARICHANDAN","BJP",28.0072708129883,"BIJAY MOHANTY","INC",16.3466472625732,1,18,"GEN","5",2014-04-17,1
"7","Bihar","Sasaram",230,"007-1",2014-04-06,"Meira Kumar","INC","Chhedi Raswan","BJP","K P Ramiah","JDU","VEHICLES TO MOVE AROUND FOR CAMPAIGNS TV CAMPAIGNS","BJP","","","","","","","","","","BJP","","","","BJP","","","CASH LIQUOR FOOD","1,2,3","CASTE LEADERS","4","","","","CHHEDI PASWAN","BJP",43.2324256896973,"MEIRA KUMAR","INC",35.7539329528809,"KARRA PARASU RAMAIAH","JD(U)",11.019287109375,1,34,"SC","3B",2014-04-10,0
"8","Bihar","Karakat",230,"007-2",2014-04-06,"Mahabali Singh","JDU","Kanti Singh","RJD","Upendra Kuowah","RLSP","TV CAMPAIGNS","","","","","","","","","","","","","","","","","","","","OPINION LEADERS","3","","","","UPENDRA KUSHWAHA","RLSP",42.9016876220703,"KANTI SINGH","RJD",29.5788097381592,"MAHABALI SINGH","JD(U)",9.71089744567871,1,35,"GEN","3B",2014-04-10,0
"9","Jharkhand","Palamau",218,"008-1",2014-04-05,"","BJP","","UPA","","JVM","RALLIES IN EACH BLOCK ADVERTISING HOARDINGS PAMPHLETS","JVM","","","JVM","","","","JVM","","","JVM","","","","BJP","","","GIVING CASH AND GIFTS TO THIKADAR AND OTHER HIGH CLASS PEOPLE","","SABARM SC RESERVED OBC","","BJP","","","VISHNU DAYAL RAM","BJP",48.7569618225098,"MANOJ KUMAR","RJD",21.7503318786621,"GHURAN RAM","JVM",16.0471000671387,1,13,"SC","3A",2014-04-10,1
"10","Jharkhand","Palamau",229,"009-1",2014-04-05,"","BJP","","RJD","","JVM","PAMPHLETS ADVERTISING","JVM","","","JVM","","","","JVM","","","RJD","","","","JVM","","","CASH FOOD","","GRAMIN KISHAN YOUTH WOMEN OLD PEOPLE","","BJP","","","VISHNU DAYAL RAM","BJP",48.7569618225098,"MANOJ KUMAR","RJD",21.7503318786621,"GHURAN RAM","JVM",16.0471000671387,1,13,"SC","3A",2014-04-10,1
"11","Bihar","Sasaram",231,"010-1",2014-04-06,"Kumar","INC","Shashi","BJP","","","SABHAS, HUGE RALLIES","INC","BJP","","","","","","BJP","JDU","","BJP","","","","BJP","","","","","MUSLIM VOTERS BC DALITS","5,6","","","","CHHEDI PASWAN","BJP",43.2324256896973,"MEIRA KUMAR","INC",35.7539329528809,"KARRA PARASU RAMAIAH","JD(U)",11.019287109375,1,34,"SC","3B",2014-04-10,0
